title_2023,code,type,employment_base_2023,employment_proj_2023,share_base_2023,share_proj_2023,change_numeric_2023,change_percent_2023,self_employed_2023,openings_2023,median_wage_2023,base_year_2023,projection_year_2023,title_2024,employment_base_2024,employment_proj_2024,share_base_2024,share_proj_2024,change_numeric_2024,change_percent_2024,self_employed_2024,openings_2024,median_wage_2024,base_year_2024,projection_year_2024,_merge,employment_base_delta,employment_proj_delta,share_base_delta,share_proj_delta,change_numeric_delta,change_percent_delta,self_employed_delta,openings_delta,median_wage_delta
Lawyers and judicial law clerks,23-1010,Summary,874.6,919.4,0.5,0.5,44.8,5.1,13.1,36.6,142440.0,2023,2033,Lawyers and judicial law clerks,879.3,915.5,0.5,0.5,36.2,4.1,11.8,32.5,148600.0,2024,2034,both,4.699999999999932,-3.8999999999999773,0.0,0.0,-8.599999999999994,-1.0,-1.299999999999999,-4.100000000000001,6160.0
"Judges, magistrates, and other judicial workers",23-1020,Summary,49.9,51.6,0.0,0.0,1.7,3.4,1.5,2.0,120140.0,2023,2033,"Judges, magistrates, and other judicial workers",53.9,54.9,0.0,0.0,0.9,1.8,1.6,1.8,123220.0,2024,2034,both,4.0,3.299999999999997,0.0,0.0,-0.7999999999999999,-1.5999999999999999,0.10000000000000009,-0.19999999999999996,3080.0
Legal support workers,23-2000,Summary,469.9,475.2,0.3,0.3,5.3,1.1,2.3,47.0,60690.0,2023,2033,Legal support workers,484.9,486.1,0.3,0.3,1.1,0.2,2.5,49.4,60930.0,2024,2034,both,15.0,10.900000000000034,0.0,0.0,-4.199999999999999,-0.9000000000000001,0.20000000000000018,2.3999999999999986,240.0
Miscellaneous legal support workers,23-2090,Summary,103.7,104.7,0.1,0.1,1.0,1.0,3.8,9.7,59380.0,2023,2033,Miscellaneous legal support workers,108.7,109.3,0.1,0.1,0.5,0.5,6.0,10.2,60550.0,2024,2034,both,5.0,4.599999999999994,0.0,0.0,-0.5,-0.5,2.2,0.5,1170.0
Educational instruction and library occupations,25-0000,Summary,9579.9,9731.2,5.7,5.6,151.3,1.6,1.7,868.0,59940.0,2023,2033,Educational instruction and library occupations,9813.2,9875.4,5.8,5.6,62.2,0.6,1.9,890.3,59220.0,2024,2034,both,233.3000000000011,144.1999999999989,0.09999999999999964,0.0,-89.10000000000001,-1.0,0.19999999999999996,22.299999999999955,-720.0
Postsecondary teachers,25-1000,Summary,1721.9,1839.9,1.0,1.1,117.9,6.8,0.3,143.9,82270.0,2023,2033,Postsecondary teachers,1721.2,1822.1,1.0,1.0,100.9,5.9,0.3,136.4,81600.0,2024,2034,both,-0.7000000000000455,-17.800000000000182,0.0,-0.10000000000000009,-17.0,-0.8999999999999995,0.0,-7.5,-670.0
"Math and computer science teachers, postsecondary",25-1020,Summary,103.5,108.2,0.1,0.1,4.7,4.5,0.2,8.3,83300.0,2023,2033,"Math and computer science teachers, postsecondary",103.7,107.4,0.1,0.1,3.7,3.6,0.2,7.9,82390.0,2024,2034,both,0.20000000000000284,-0.7999999999999972,0.0,0.0,-1.0,-0.8999999999999999,0.0,-0.40000000000000036,-910.0
"Engineering and architecture teachers, postsecondary",25-1030,Summary,59.5,64.3,0.0,0.0,4.8,8.1,0.2,5.1,106860.0,2023,2033,"Engineering and architecture teachers, postsecondary",62.0,66.3,0.0,0.0,4.3,7.0,0.2,5.0,105690.0,2024,2034,both,2.5,2.0,0.0,0.0,-0.5,-1.0999999999999996,0.0,-0.09999999999999964,-1170.0
"Life sciences teachers, postsecondary",25-1040,Summary,76.0,81.9,0.0,0.0,6.0,7.8,0.2,6.5,84260.0,2023,2033,"Life sciences teachers, postsecondary",78.3,83.6,0.0,0.0,5.3,6.8,0.2,6.3,83920.0,2024,2034,both,2.299999999999997,1.6999999999999886,0.0,0.0,-0.7000000000000002,-1.0,0.0,-0.20000000000000018,-340.0
"Physical sciences teachers, postsecondary",25-1050,Summary,66.6,69.0,0.0,0.0,2.4,3.6,0.2,5.3,94060.0,2023,2033,"Physical sciences teachers, postsecondary",65.5,67.1,0.0,0.0,1.6,2.5,0.2,4.9,95520.0,2024,2034,both,-1.0999999999999943,-1.9000000000000057,0.0,0.0,-0.7999999999999998,-1.1,0.0,-0.39999999999999947,1460.0
"Social sciences teachers, postsecondary",25-1060,Summary,149.9,155.8,0.1,0.1,5.9,3.9,0.2,11.9,84600.0,2023,2033,"Social sciences teachers, postsecondary",151.2,155.2,0.1,0.1,4.0,2.7,0.3,11.3,83360.0,2024,2034,both,1.299999999999983,-0.6000000000000227,0.0,0.0,-1.9000000000000004,-1.1999999999999997,0.09999999999999998,-0.5999999999999996,-1240.0
"Health teachers, postsecondary",25-1070,Summary,374.1,443.5,0.2,0.3,69.4,18.5,0.3,37.3,100950.0,2023,2033,"Health teachers, postsecondary",381.2,446.6,0.2,0.3,65.4,17.2,0.3,36.0,100370.0,2024,2034,both,7.099999999999966,3.1000000000000227,0.0,0.0,-4.0,-1.3000000000000007,0.0,-1.2999999999999972,-580.0
"Education and library science teachers, postsecondary",25-1080,Summary,82.5,85.3,0.0,0.0,2.7,3.3,0.3,6.5,74550.0,2023,2033,"Education and library science teachers, postsecondary",80.0,81.8,0.0,0.0,1.7,2.2,0.3,5.9,73050.0,2024,2034,both,-2.5,-3.5,0.0,0.0,-1.0000000000000002,-1.0999999999999996,0.0,-0.5999999999999996,-1500.0
"Law, criminal justice, and social work teachers, postsecondary",25-1110,Summary,50.2,51.6,0.0,0.0,1.4,2.9,0.3,3.9,81770.0,2023,2033,"Law, criminal justice, and social work teachers, postsecondary",62.9,64.2,0.0,0.0,1.4,2.2,0.3,4.7,87870.0,2024,2034,both,12.699999999999996,12.600000000000001,0.0,0.0,0.0,-0.6999999999999997,0.0,0.8000000000000003,6100.0
"Arts, communications, history, and humanities teachers, postsecondary",25-1120,Summary,310.9,317.3,0.2,0.2,6.4,2.1,0.3,23.9,79960.0,2023,2033,"Arts, communications, history, and humanities teachers, postsecondary",309.2,312.1,0.2,0.2,2.9,0.9,0.3,22.4,79060.0,2024,2034,both,-1.6999999999999886,-5.199999999999989,0.0,0.0,-3.5000000000000004,-1.2000000000000002,0.0,-1.5,-900.0
Miscellaneous postsecondary teachers,25-1190,Summary,343.8,351.1,0.2,0.2,7.3,2.1,0.2,26.5,71800.0,2023,2033,Miscellaneous postsecondary teachers,324.2,328.9,0.2,0.2,4.7,1.4,0.3,23.7,68800.0,2024,2034,both,-19.600000000000023,-22.200000000000045,0.0,0.0,-2.5999999999999996,-0.7000000000000002,0.09999999999999998,-2.8000000000000007,-3000.0
"Preschool, elementary, middle, secondary, and special education teachers",25-2000,Summary,4437.0,4434.5,2.6,2.5,-2.5,-0.1,0.4,315.4,63280.0,2023,2033,"Preschool, elementary, middle, secondary, and special education teachers",4500.1,4453.2,2.6,2.5,-46.9,-1.0,0.4,320.9,61960.0,2024,2034,both,63.100000000000364,18.699999999999818,0.0,0.0,-44.4,-0.9,0.0,5.5,-1320.0
Preschool and kindergarten teachers,25-2010,Summary,651.2,673.6,0.4,0.4,22.4,3.4,0.8,74.7,39330.0,2023,2033,Preschool and kindergarten teachers,672.3,693.3,0.4,0.4,21.0,3.1,0.5,78.2,40090.0,2024,2034,both,21.09999999999991,19.699999999999932,0.0,0.0,-1.3999999999999986,-0.2999999999999998,-0.30000000000000004,3.5,760.0
Elementary and middle school teachers,25-2020,Summary,2093.2,2077.7,1.2,1.2,-15.5,-0.7,0.4,135.4,63870.0,2023,2033,Elementary and middle school teachers,2070.4,2029.9,1.2,1.2,-40.6,-2.0,0.6,132.4,62500.0,2024,2034,both,-22.799999999999727,-47.79999999999973,0.0,0.0,-25.1,-1.3,0.19999999999999996,-3.0,-1370.0
Secondary school teachers,25-2030,Summary,1161.0,1153.5,0.7,0.7,-7.6,-0.7,0.2,69.4,65210.0,2023,2033,Secondary school teachers,1197.9,1178.2,0.7,0.7,-19.7,-1.6,0.0,72.4,64530.0,2024,2034,both,36.90000000000009,24.700000000000045,0.0,0.0,-12.1,-0.9000000000000001,-0.2,3.0,-680.0
Special education teachers,25-2050,Summary,531.6,529.7,0.3,0.3,-1.9,-0.4,0.2,35.9,65910.0,2023,2033,Special education teachers,559.5,551.8,0.3,0.3,-7.7,-1.4,0.5,37.8,64270.0,2024,2034,both,27.899999999999977,22.09999999999991,0.0,0.0,-5.800000000000001,-0.9999999999999999,0.3,1.8999999999999986,-1640.0
Other teachers and instructors,25-3000,Summary,1223.7,1250.3,0.7,0.7,26.6,2.2,10.7,160.6,41700.0,2023,2033,Other teachers and instructors,1337.7,1357.1,0.8,0.8,19.4,1.4,10.5,171.4,44220.0,2024,2034,both,114.0,106.79999999999995,0.10000000000000009,0.10000000000000009,-7.200000000000003,-0.8000000000000003,-0.1999999999999993,10.800000000000011,2520.0
"Librarians, curators, and archivists",25-4000,Summary,261.2,264.8,0.2,0.2,3.6,1.4,0.9,31.1,55460.0,2023,2033,"Librarians, curators, and archivists",260.8,260.1,0.2,0.1,-0.7,-0.3,2.3,31.2,57100.0,2024,2034,both,-0.39999999999997726,-4.699999999999989,0.0,-0.1,-4.3,-1.7,1.4,0.09999999999999787,1640.0
"Archivists, curators, and museum technicians",25-4010,Summary,37.5,41.5,0.0,0.0,4.0,10.7,6.1,4.7,57120.0,2023,2033,"Archivists, curators, and museum technicians",40.2,42.4,0.0,0.0,2.3,5.6,12.0,4.8,57100.0,2024,2034,both,2.700000000000003,0.8999999999999986,0.0,0.0,-1.7000000000000002,-5.1,5.9,0.09999999999999964,-20.0
Other educational instruction and library occupations,25-9000,Summary,1936.1,1941.8,1.2,1.1,5.7,0.3,0.6,217.0,37330.0,2023,2033,Other educational instruction and library occupations,1993.3,1982.9,1.2,1.1,-10.5,-0.5,0.6,230.4,36690.0,2024,2034,both,57.200000000000045,41.100000000000136,0.0,0.0,-16.2,-0.8,0.0,13.400000000000006,-640.0
Teaching assistants,25-9040,Summary,1573.8,1573.0,0.9,0.9,-0.8,0.0,0.3,184.7,35930.0,2023,2033,Teaching assistants,1616.3,1601.3,1.0,0.9,-15.1,-0.9,0.1,195.0,35550.0,2024,2034,both,42.5,28.299999999999955,0.09999999999999998,0.0,-14.299999999999999,-0.9,-0.19999999999999998,10.300000000000011,-380.0
"Arts, design, entertainment, sports, and media occupations",27-0000,Summary,3073.1,3203.2,1.8,1.8,130.1,4.2,26.0,306.3,58920.0,2023,2033,"Arts, design, entertainment, sports, and media occupations",3021.1,3104.6,1.8,1.8,83.5,2.8,24.6,289.4,60140.0,2024,2034,both,-52.0,-98.59999999999991,0.0,0.0,-46.599999999999994,-1.4000000000000004,-1.3999999999999986,-16.900000000000034,1220.0
Art and design workers,27-1000,Summary,959.2,988.4,0.6,0.6,29.2,3.0,28.7,87.9,51660.0,2023,2033,Art and design workers,950.3,971.8,0.6,0.6,21.5,2.3,27.7,84.9,53180.0,2024,2034,both,-8.900000000000091,-16.600000000000023,0.0,0.0,-7.699999999999999,-0.7000000000000002,-1.0,-3.0,1520.0
Artists and related workers,27-1010,Summary,253.9,265.5,0.2,0.2,11.6,4.6,58.3,23.3,96130.0,2023,2033,Artists and related workers,244.2,250.8,0.1,0.1,6.7,2.7,60.8,21.7,99060.0,2024,2034,both,-9.700000000000017,-14.699999999999989,-0.1,-0.1,-4.8999999999999995,-1.8999999999999995,2.5,-1.6000000000000014,2930.0
Designers,27-1020,Summary,705.3,722.9,0.4,0.4,17.6,2.5,18.1,64.6,47670.0,2023,2033,Designers,706.1,721.0,0.4,0.4,14.9,2.1,16.3,63.2,49020.0,2024,2034,both,0.8000000000000682,-1.8999999999999773,0.0,0.0,-2.700000000000001,-0.3999999999999999,-1.8000000000000007,-1.3999999999999915,1350.0
"Entertainers and performers, sports and related workers",27-2000,Summary,896.1,955.0,0.5,0.5,58.9,6.6,24.8,108.9,53360.0,2023,2033,"Entertainers and performers, sports and related workers",854.1,889.4,0.5,0.5,35.3,4.1,22.4,99.7,54870.0,2024,2034,both,-42.0,-65.60000000000002,0.0,0.0,-23.6,-2.5,-2.400000000000002,-9.200000000000003,1510.0
"Actors, producers, and directors",27-2010,Summary,244.0,261.0,0.1,0.1,17.0,7.0,10.1,22.6,76000.0,2023,2033,"Actors, producers, and directors",223.9,232.4,0.1,0.1,8.4,3.8,13.2,19.1,78000.0,2024,2034,both,-20.099999999999994,-28.599999999999994,0.0,0.0,-8.6,-3.2,3.0999999999999996,-3.5,2000.0
"Athletes, coaches, umpires, and related workers",27-2020,Summary,355.2,387.3,0.2,0.2,32.1,9.0,15.3,50.7,45860.0,2023,2033,"Athletes, coaches, umpires, and related workers",344.9,366.6,0.2,0.2,21.7,6.3,11.3,48.5,45920.0,2024,2034,both,-10.300000000000011,-20.69999999999999,0.0,0.0,-10.400000000000002,-2.7,-4.0,-2.200000000000003,60.0
Dancers and choreographers,27-2030,Summary,20.6,21.9,0.0,0.0,1.3,6.3,22.0,3.4,51900.0,2023,2033,Dancers and choreographers,17.0,17.8,0.0,0.0,0.8,4.9,25.1,2.5,51020.0,2024,2034,both,-3.6000000000000014,-4.099999999999998,0.0,0.0,-0.5,-1.3999999999999995,3.1000000000000014,-0.8999999999999999,-880.0
"Musicians, singers, and related workers",27-2040,Summary,219.6,224.4,0.1,0.1,4.9,2.2,47.9,25.5,,2023,2033,"Musicians, singers, and related workers",217.1,218.8,0.1,0.1,1.7,0.8,42.1,23.7,,2024,2034,both,-2.5,-5.599999999999994,0.0,0.0,-3.2,-1.4000000000000001,-5.799999999999997,-1.8000000000000007,
"Miscellaneous entertainers and performers, sports and related workers",27-2090,Summary,56.7,60.4,0.0,0.0,3.7,6.5,60.0,6.7,,2023,2033,"Miscellaneous entertainers and performers, sports and related workers",51.2,53.9,0.0,0.0,2.7,5.3,53.4,5.8,,2024,2034,both,-5.5,-6.5,0.0,0.0,-1.0,-1.2000000000000002,-6.600000000000001,-0.9000000000000004,
Media and communication workers,27-3000,Summary,821.9,850.5,0.5,0.5,28.6,3.5,19.3,74.7,66320.0,2023,2033,Media and communication workers,824.3,844.4,0.5,0.5,20.1,2.4,18.0,73.4,70300.0,2024,2034,both,2.3999999999999773,-6.100000000000023,0.0,0.0,-8.5,-1.1,-1.3000000000000007,-1.2999999999999972,3980.0
Writers and editors,27-3040,Summary,315.0,322.4,0.2,0.2,7.4,2.4,36.7,28.5,76020.0,2023,2033,Writers and editors,307.6,313.7,0.2,0.2,6.1,2.0,32.6,27.7,78100.0,2024,2034,both,-7.399999999999977,-8.699999999999989,0.0,0.0,-1.3000000000000007,-0.3999999999999999,-4.100000000000001,-0.8000000000000007,2080.0
Miscellaneous media and communication workers,27-3090,Summary,122.8,127.1,0.1,0.1,4.3,3.5,26.4,11.7,60440.0,2023,2033,Miscellaneous media and communication workers,127.4,129.5,0.1,0.1,2.2,1.7,26.7,11.6,62500.0,2024,2034,both,4.6000000000000085,2.4000000000000057,0.0,0.0,-2.0999999999999996,-1.8,0.3000000000000007,-0.09999999999999964,2060.0
Media and communication equipment workers,27-4000,Summary,395.9,409.3,0.2,0.2,13.5,3.4,36.3,34.8,53850.0,2023,2033,Media and communication equipment workers,392.3,398.9,0.2,0.2,6.6,1.7,36.1,31.4,56480.0,2024,2034,both,-3.599999999999966,-10.400000000000034,0.0,0.0,-6.9,-1.7,-0.19999999999999574,-3.3999999999999986,2630.0
"Broadcast, sound, and lighting technicians",27-4010,Summary,146.1,150.4,0.1,0.1,4.2,2.9,10.5,12.9,54160.0,2023,2033,"Broadcast, sound, and lighting technicians",146.1,147.7,0.1,0.1,1.5,1.0,11.5,11.1,56600.0,2024,2034,both,0.0,-2.700000000000017,0.0,0.0,-2.7,-1.9,1.0,-1.8000000000000007,2440.0
"Television, video, and film camera operators and editors",27-4030,Summary,85.4,88.3,0.1,0.1,2.9,3.4,34.4,7.1,65070.0,2023,2033,"Television, video, and film camera operators and editors",79.9,82.1,0.0,0.0,2.2,2.7,29.1,6.4,70570.0,2024,2034,both,-5.5,-6.200000000000003,-0.1,-0.1,-0.6999999999999997,-0.6999999999999997,-5.299999999999997,-0.6999999999999993,5500.0
Healthcare practitioners and technical occupations,29-0000,Summary,9781.6,10623.3,5.8,6.1,841.7,8.6,2.3,640.9,80820.0,2023,2033,Healthcare practitioners and technical occupations,10067.5,10794.4,5.9,6.2,726.9,7.2,2.4,634.9,83090.0,2024,2034,both,285.89999999999964,171.10000000000036,0.10000000000000053,0.10000000000000053,-114.80000000000007,-1.3999999999999995,0.10000000000000009,-6.0,2270.0
Healthcare diagnosing or treating practitioners,29-1000,Summary,6539.5,7151.3,3.9,4.1,611.8,9.4,3.0,371.1,98760.0,2023,2033,Healthcare diagnosing or treating practitioners,6715.1,7241.6,4.0,4.1,526.4,7.8,3.1,363.3,101370.0,2024,2034,both,175.60000000000036,90.30000000000018,0.10000000000000009,0.0,-85.39999999999998,-1.6000000000000005,0.10000000000000009,-7.800000000000011,2610.0
Dentists,29-1020,Summary,160.6,167.9,0.1,0.1,7.3,4.6,12.9,4.9,170910.0,2023,2033,Dentists,149.3,155.2,0.1,0.1,5.9,4.0,11.7,4.5,179210.0,2024,2034,both,-11.299999999999983,-12.700000000000017,0.0,0.0,-1.3999999999999995,-0.5999999999999996,-1.200000000000001,-0.40000000000000036,8300.0
Therapists,29-1120,Summary,822.8,935.7,0.5,0.5,112.9,13.7,6.9,52.4,90400.0,2023,2033,Therapists,869.4,975.3,0.5,0.6,106.0,12.2,8.3,53.5,95010.0,2024,2034,both,46.60000000000002,39.59999999999991,0.0,0.09999999999999998,-6.900000000000006,-1.5,1.4000000000000004,1.1000000000000014,4610.0
Physicians,29-1210,Summary,776.5,808.5,0.5,0.5,32.0,4.1,3.9,22.1,,2023,2033,Physicians,785.6,807.7,0.5,0.5,22.1,2.8,4.2,22.3,,2024,2034,both,9.100000000000023,-0.7999999999999545,0.0,0.0,-9.899999999999999,-1.2999999999999998,0.30000000000000027,0.1999999999999993,
Surgeons,29-1240,Summary,58.0,60.5,0.0,0.0,2.5,4.3,3.9,1.5,,2023,2033,Surgeons,53.4,55.5,0.0,0.0,2.1,4.0,0.7,1.3,,2024,2034,both,-4.600000000000001,-5.0,0.0,0.0,-0.3999999999999999,-0.2999999999999998,-3.2,-0.19999999999999996,
Miscellaneous healthcare diagnosing or treating practitioners,29-1290,Summary,276.6,298.5,0.2,0.2,21.9,7.9,7.6,20.0,89260.0,2023,2033,Miscellaneous healthcare diagnosing or treating practitioners,278.3,295.7,0.2,0.2,17.4,6.3,5.8,18.5,94920.0,2024,2034,both,1.6999999999999886,-2.8000000000000114,0.0,0.0,-4.5,-1.6000000000000005,-1.7999999999999998,-1.5,5660.0
Health technologists and technicians,29-2000,Summary,3102.1,3316.8,1.8,1.9,214.8,6.9,0.5,259.3,51250.0,2023,2033,Health technologists and technicians,3205.6,3393.0,1.9,1.9,187.4,5.8,0.6,261.4,54270.0,2024,2034,both,103.5,76.19999999999982,0.09999999999999987,0.0,-27.400000000000006,-1.1000000000000005,0.09999999999999998,2.099999999999966,3020.0
Diagnostic related technologists and technicians,29-2030,Summary,436.6,468.6,0.3,0.3,32.0,7.3,1.0,26.5,78330.0,2023,2033,Diagnostic related technologists and technicians,451.5,478.8,0.3,0.3,27.3,6.1,2.4,26.1,80660.0,2024,2034,both,14.899999999999977,10.199999999999989,0.0,0.0,-4.699999999999999,-1.2000000000000002,1.4,-0.3999999999999986,2330.0
Emergency medical technicians and paramedics,29-2040,Summary,270.4,286.6,0.2,0.2,16.2,6.0,0.2,19.2,44780.0,2023,2033,Emergency medical technicians and paramedics,282.9,297.2,0.2,0.2,14.3,5.0,,19.0,46350.0,2024,2034,both,12.5,10.599999999999966,0.0,0.0,-1.8999999999999986,-1.0,,-0.1999999999999993,1570.0
Health practitioner support technologists and technicians,29-2050,Summary,926.8,1023.8,0.6,0.6,97.0,10.5,0.2,97.0,43130.0,2023,2033,Health practitioner support technologists and technicians,994.3,1088.4,0.6,0.6,94.1,9.5,0.2,102.8,45010.0,2024,2034,both,67.5,64.60000000000014,0.0,0.0,-2.9000000000000057,-1.0,0.0,5.799999999999997,1880.0
Miscellaneous health technologists and technicians,29-2090,Summary,197.5,212.9,0.1,0.1,15.4,7.8,1.7,16.1,48010.0,2023,2033,Miscellaneous health technologists and technicians,199.6,212.2,0.1,0.1,12.6,6.3,0.5,15.4,49600.0,2024,2034,both,2.0999999999999943,-0.700000000000017,0.0,0.0,-2.8000000000000007,-1.5,-1.2,-0.7000000000000011,1590.0
Other healthcare practitioners and technical occupations,29-9000,Summary,140.1,155.2,0.1,0.1,15.1,10.8,8.4,10.5,61020.0,2023,2033,Other healthcare practitioners and technical occupations,146.7,159.8,0.1,0.1,13.1,8.9,7.3,10.2,62820.0,2024,2034,both,6.599999999999994,4.600000000000023,0.0,0.0,-2.0,-1.9000000000000004,-1.1000000000000005,-0.3000000000000007,1800.0
Miscellaneous health practitioners and technical workers,29-9090,Summary,101.0,109.7,0.1,0.1,8.8,8.7,8.1,7.3,60410.0,2023,2033,Miscellaneous health practitioners and technical workers,104.8,111.8,0.1,0.1,6.9,6.6,7.1,7.0,61890.0,2024,2034,both,3.799999999999997,2.0999999999999943,0.0,0.0,-1.9000000000000004,-2.0999999999999996,-1.0,-0.2999999999999998,1480.0
Healthcare support occupations,31-0000,Summary,7516.9,8659.3,4.5,5.0,1142.4,15.2,2.5,1261.1,36140.0,2023,2033,Healthcare support occupations,7982.8,8971.1,4.7,5.1,988.3,12.4,2.7,1286.7,37180.0,2024,2034,both,465.90000000000055,311.8000000000011,0.20000000000000018,0.09999999999999964,-154.10000000000014,-2.799999999999999,0.20000000000000018,25.600000000000136,1040.0
"Home health and personal care aides; and nursing assistants, orderlies, and psychiatric aides",31-1100,Summary,5467.3,6352.8,3.3,3.6,885.5,16.2,2.1,940.3,34570.0,2023,2033,"Home health and personal care aides; and nursing assistants, orderlies, and psychiatric aides",5881.6,6655.6,3.5,3.8,774.1,13.2,2.4,983.0,35940.0,2024,2034,both,414.3000000000002,302.8000000000002,0.20000000000000018,0.19999999999999973,-111.39999999999998,-3.0,0.2999999999999998,42.700000000000045,1370.0
"Nursing assistants, orderlies, and psychiatric aides",31-1130,Summary,1505.4,1570.4,0.9,0.9,65.0,4.3,1.2,221.5,38140.0,2023,2033,"Nursing assistants, orderlies, and psychiatric aides",1533.9,1568.1,0.9,0.9,34.2,2.2,1.2,217.1,39470.0,2024,2034,both,28.5,-2.300000000000182,0.0,0.0,-30.799999999999997,-2.0999999999999996,0.0,-4.400000000000006,1330.0
Occupational therapy and physical therapist assistants and aides,31-2000,Summary,204.9,244.5,0.1,0.1,39.6,19.3,1.0,35.3,60830.0,2023,2033,Occupational therapy and physical therapist assistants and aides,211.5,246.9,0.1,0.1,35.4,16.7,0.5,34.3,61730.0,2024,2034,both,6.599999999999994,2.4000000000000057,0.0,0.0,-4.200000000000003,-2.6000000000000014,-0.5,-1.0,900.0
Occupational therapy assistants and aides,31-2010,Summary,52.1,62.9,0.0,0.0,10.8,20.7,,7.8,65450.0,2023,2033,Occupational therapy assistants and aides,54.4,64.0,0.0,0.0,9.6,17.6,,7.9,66050.0,2024,2034,both,2.299999999999997,1.1000000000000014,0.0,0.0,-1.200000000000001,-3.099999999999998,,0.10000000000000053,600.0
Physical therapist assistants and aides,31-2020,Summary,152.8,181.6,0.1,0.1,28.8,18.9,1.3,27.5,58740.0,2023,2033,Physical therapist assistants and aides,157.1,182.9,0.1,0.1,25.8,16.4,0.7,26.4,60050.0,2024,2034,both,4.299999999999983,1.3000000000000114,0.0,0.0,-3.0,-2.5,-0.6000000000000001,-1.1000000000000014,1310.0
Other healthcare support occupations,31-9000,Summary,1844.7,2062.0,1.1,1.2,217.3,11.8,3.7,285.4,43330.0,2023,2033,Other healthcare support occupations,1889.7,2068.5,1.1,1.2,178.8,9.5,4.2,269.4,45000.0,2024,2034,both,45.0,6.5,0.0,0.0,-38.5,-2.3000000000000007,0.5,-16.0,1670.0
Miscellaneous healthcare support occupations,31-9090,Summary,1697.6,1888.9,1.0,1.1,191.3,11.3,0.8,262.6,42880.0,2023,2033,Miscellaneous healthcare support occupations,1721.7,1874.6,1.0,1.1,152.9,8.9,0.5,244.7,44720.0,2024,2034,both,24.100000000000136,-14.300000000000182,0.0,0.0,-38.400000000000006,-2.4000000000000004,-0.30000000000000004,-17.900000000000034,1840.0
Protective service occupations,33-0000,Summary,3630.7,3704.7,2.2,2.1,74.0,2.0,0.2,419.3,47760.0,2023,2033,Protective service occupations,3787.4,3816.6,2.2,2.2,29.1,0.8,0.4,423.6,50580.0,2024,2034,both,156.70000000000027,111.90000000000009,0.0,0.10000000000000009,-44.9,-1.2,0.2,4.300000000000011,2820.0
Supervisors of protective service workers,33-1000,Summary,375.6,387.1,0.2,0.2,11.6,3.1,0.4,29.5,81240.0,2023,2033,Supervisors of protective service workers,408.4,417.1,0.2,0.2,8.7,2.1,0.1,30.8,87050.0,2024,2034,both,32.799999999999955,30.0,0.0,0.0,-2.9000000000000004,-1.0,-0.30000000000000004,1.3000000000000007,5810.0
First-line supervisors of law enforcement workers,33-1010,Summary,200.0,204.6,0.1,0.1,4.6,2.3,,14.4,93800.0,2023,2033,First-line supervisors of law enforcement workers,217.9,220.9,0.1,0.1,3.0,1.4,,15.2,99130.0,2024,2034,both,17.900000000000006,16.30000000000001,0.0,0.0,-1.5999999999999996,-0.8999999999999999,,0.7999999999999989,5330.0
"Miscellaneous first-line supervisors, protective service workers",33-1090,Summary,88.5,91.8,0.1,0.1,3.3,3.8,1.6,9.3,57590.0,2023,2033,"Miscellaneous first-line supervisors, protective service workers",93.3,95.6,0.1,0.1,2.3,2.5,0.6,9.1,60190.0,2024,2034,both,4.799999999999997,3.799999999999997,0.0,0.0,-1.0,-1.2999999999999998,-1.0,-0.20000000000000107,2600.0
Firefighting and prevention workers,33-2000,Summary,344.1,358.8,0.2,0.2,14.7,4.3,,27.2,57900.0,2023,2033,Firefighting and prevention workers,362.5,375.3,0.2,0.2,12.8,3.5,0.0,28.9,59870.0,2024,2034,both,18.399999999999977,16.5,0.0,0.0,-1.8999999999999986,-0.7999999999999998,,1.6999999999999993,1970.0
Fire inspectors,33-2020,Summary,17.3,18.3,0.0,0.0,1.1,6.2,,1.5,71420.0,2023,2033,Fire inspectors,17.6,18.6,0.0,0.0,1.0,5.6,,1.8,75480.0,2024,2034,both,0.3000000000000007,0.3000000000000007,0.0,0.0,-0.10000000000000009,-0.6000000000000005,,0.30000000000000004,4060.0
Law enforcement workers,33-3000,Summary,1192.3,1195.9,0.7,0.7,3.6,0.3,0.0,94.8,66030.0,2023,2033,Law enforcement workers,1241.6,1232.0,0.7,0.7,-9.7,-0.8,0.1,94.8,70530.0,2024,2034,both,49.299999999999955,36.09999999999991,0.0,0.0,-13.299999999999999,-1.1,0.1,0.0,4500.0
"Bailiffs, correctional officers, and jailers",33-3010,Summary,387.5,362.5,0.2,0.2,-25.1,-6.5,0.0,31.0,53290.0,2023,2033,"Bailiffs, correctional officers, and jailers",406.5,376.0,0.2,0.2,-30.5,-7.5,0.3,31.9,57950.0,2024,2034,both,19.0,13.5,0.0,0.0,-5.399999999999999,-1.0,0.3,0.8999999999999986,4660.0
Police officers,33-3050,Summary,676.6,703.0,0.4,0.4,26.4,3.9,,54.0,72260.0,2023,2033,Police officers,701.9,724.0,0.4,0.4,22.1,3.1,0.1,53.9,76300.0,2024,2034,both,25.299999999999955,21.0,0.0,0.0,-4.299999999999997,-0.7999999999999998,,-0.10000000000000142,4040.0
